File: run   12.05.20  04:18:51
Comment: run
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       1.975          22.440                   1.975           0.000            
       1.980          19.910                   1.980           0.000            
       1.985          22.440                   1.985           0.000            
       1.990          22.440                   1.990           0.000            
       1.995          17.490                   1.995           0.000            
       2.000          27.500                   2.000           0.000            
       2.005          19.910                   2.005           0.000            
       2.010          22.440                   2.010           0.000            
       2.015          19.910                   2.015           0.000            
       2.020          19.910                   2.020           0.000            
       2.025          35.770                   2.025           0.000            
       2.030          97.090                   2.030           0.000            
       2.035         163.520                   2.035           0.000            
       2.040         270.830                   2.040           0.000            
       2.045         439.460                   2.045           0.000            
       2.050         623.420                   2.050           0.000            
       2.055         802.270                   2.055           0.000            
       2.060         904.470                   2.060           0.000            
       2.065         950.460                   2.065           0.000            
       2.070         970.900                   2.070           0.000            
       2.075        1006.670                   2.075           0.000            
       2.080        1098.650                   2.080           0.000            
       2.085        1175.300                   2.085           0.000            
       2.090        1241.730                   2.090           0.000            
       2.095        1277.500                   2.095           0.000            
       2.100        1336.720                   2.100           0.000            
       2.105        1384.460                   2.105           0.000            
       2.110        1445.840                   2.110           0.000            
       2.115        1500.400                   2.115           0.000            
       2.120        1548.140                   2.120           0.000            
       2.125        1589.060                   2.125           0.000            
       2.130        1616.340                   2.130           0.000            
       2.135        1636.800                   2.135           0.000            
       2.140        1664.080                   2.140           0.000            
       2.145        1684.540                   2.145           0.000            
       2.150        1691.360                   2.150           0.000            
       2.155        1705.000                   2.155           0.000            
       2.160        1698.180                   2.160           0.000            
       2.165        1698.180                   2.165           0.000            
       2.170        1684.540                   2.170           0.000            
       2.175        1667.500                   2.175           0.000            
       2.180        1634.150                   2.180           0.000            
       2.185        1600.800                   2.185           0.000            
       2.190        1567.450                   2.190           0.000            
       2.195        1534.100                   2.195           0.000            
       2.200        1500.750                   2.200           0.000            
       2.205        1454.060                   2.205           0.000            
       2.210        1407.370                   2.210           0.000            
       2.215        1374.020                   2.215           0.000            
       2.220        1340.670                   2.220           0.000            
       2.225        1307.320                   2.225           0.000            
       2.230        1260.630                   2.230           0.000            
       2.235        1207.270                   2.235           0.000            
       2.240        1147.240                   2.240           0.000            
       2.245        1100.550                   2.245           0.000            
       2.250        1052.500                   2.250           0.000            
       2.255         980.930                   2.255           0.000            
       2.260         917.780                   2.260           0.000            
       2.265         863.050                   2.265           0.000            
       2.270         791.480                   2.270           0.000            
       2.275         728.330                   2.275           0.000            
       2.280         660.970                   2.280           0.000            
       2.285         602.030                   2.285           0.000            
       2.290         534.670                   2.290           0.000            
       2.295         467.310                   2.295           0.000            
       2.300         404.160                   2.300           0.000            
       2.305         345.220                   2.305           0.000            
       2.310         286.280                   2.310           0.000            
       2.315         239.970                   2.315           0.000            
       2.320         193.660                   2.320           0.000            
       2.325         160.000                   2.325           0.000            
       2.330         122.240                   2.330           0.000            
       2.335          89.600                   2.335           0.000            
       2.340          69.760                   2.340           0.000            
       2.345          24.960                   2.345           0.000            
       2.350          19.840                   2.350           0.000            
       2.355           9.600                   2.355           0.000            
       2.360           9.600                   2.360           0.000            
       2.365           4.480                   2.365           0.000            
       2.370           9.600                   2.370           0.000            
       2.375           0.000                   2.375           0.000            
       2.380           0.000                   2.380           0.000            
       2.385           0.000                   2.385           0.000            
       2.390           0.000                   2.390           0.000            
       2.395           0.000                   2.395           0.000            
       2.400           0.000                   2.400           0.000            
       2.405           0.000                   2.405           0.000            
       2.410           0.000                   2.410           0.000            
       2.415           0.000                   2.415           0.000            
       2.420           0.000                   2.420           0.000            
       2.425           0.000                   2.425           0.000            
       2.430           0.000                   2.430           0.000            
       2.435           0.000                   2.435           0.000            
       2.440           0.000                   2.440           0.000            
       2.445           0.000                   2.445           0.000            
       2.450           0.000                   2.450           2.480            
       2.455           0.000                   2.455           0.000            
       2.460           0.000                   2.460           0.000            
       2.465           0.000                   2.465           0.000            
       2.470           0.000                   2.470          20.000            
       2.475           0.000                   2.475         127.200            
       2.480           0.000                   2.480         249.100            
       2.485           0.000                   2.485         392.200            
       2.490           0.000                   2.490         572.400            
       2.495           0.000                   2.495         742.000            
       2.500           0.000                   2.500         863.900            
       2.505           0.000                   2.505         922.200            
       2.510           0.000                   2.510         932.800            
       2.515           0.000                   2.515         938.100            
       2.520           0.000                   2.520         964.600            
       2.525           0.000                   2.525        1060.000            
       2.530           0.000                   2.530        1144.800            
       2.535           0.000                   2.535        1213.700            
       2.540           0.000                   2.540        1256.100            
       2.545           0.000                   2.545        1325.000            
       2.550           0.000                   2.550        1396.000            
       2.555           0.000                   2.555        1458.820            
       2.560           0.000                   2.560        1521.640            
       2.565           0.000                   2.565        1563.520            
       2.570           0.000                   2.570        1598.420            
       2.575           0.000                   2.575        1633.320            
       2.580           0.000                   2.580        1661.240            
       2.585           0.000                   2.585        1689.160            
       2.590           0.000                   2.590        1703.120            
       2.595           0.000                   2.595        1724.060            
       2.600           0.000                   2.600        1738.020            
       2.605           0.000                   2.605        1745.000            
       2.610           0.000                   2.610        1731.040            
       2.615           0.000                   2.615        1717.080            
       2.620           0.000                   2.620        1696.140            
       2.625           0.000                   2.625        1667.500            
       2.630           0.000                   2.630        1620.810            
       2.635           0.000                   2.635        1587.460            
       2.640           0.000                   2.640        1540.770            
       2.645           0.000                   2.645        1500.750            
       2.650           0.000                   2.650        1440.720            
       2.655           0.000                   2.655        1394.030            
       2.660           0.000                   2.660        1340.670            
       2.665           0.000                   2.665        1300.650            
       2.670           0.000                   2.670        1260.630            
       2.675           0.000                   2.675        1213.940            
       2.680           0.000                   2.680        1160.580            
       2.685           0.000                   2.685        1107.220            
       2.690           0.000                   2.690        1053.860            
       2.695           0.000                   2.695         993.830            
       2.700           0.000                   2.700         935.000            
